"rule","massDimension","wolframClass","blinkingBackground"
0,0,1,false
1,1,2,true
2,1,2,false
3,1,2,true
4,1,2,false
5,1,2,true
6,1,2,false
7,1,2,true
8,0,1,false
9,1.0000707332836243,3,true
10,1,2,false
11,1.000070664261878,2,true
12,1,2,false
13,1,2,true
14,1.0190983536122338,2,false
15,1,2,true
16,1,2,false
17,1,2,true
18,1.5849625007211556,3,false
19,1,2,true
20,1,2,false
21,1,2,true
22,1.5849625007211556,3,false
23,0.9390001483700516,2,true
24,1,2,false
25,1.0001406700534061,2,true
26,1.5849625007211556,2,false
27,0.9999999999999971,2,true
28,1.8929440169180012,2,false
29,1,2,true
30,1.922963615830426,3,false
31,0.9390001483700516,2,true
32,0,1,false
33,1,2,true
34,1,2,false
35,1,2,true
36,1,2,false
37,0.9773475067460466,2,true
38,1,2,false
39,0.9999999999999971,2,true
40,0,1,false
41,1,3,true
42,1,2,false
43,1.000070664261878,2,true
44,1,2,false
45,0.999607602642476,3,true
46,1.0190983536122338,2,false
47,1,2,true
48,1,2,false
49,1,3,true
50,1.9669957832077956,2,false
51,1,2,true
52,1,2,false
53,0.9999999999999971,2,true
54,1.9390001483700516,3,false
55,0.9390001483700516,2,true
56,1,2,false
57,1,3,true
58,1.9669957832077956,3,false
59,1.0001409438386801,2,true
60,1.5849625007211556,3,false
61,1.0003281002133946,3,true
62,1.963221271994294,3,false
63,0.9390001483700516,2,true
64,0,1,false
65,1.0000707332836243,2,true
66,1,2,false
67,1.0001406700534061,3,true
68,1,2,false
69,1,2,true
70,1.8929440169180012,2,false
71,1,2,true
72,0,2,false
73,0.9841511391640807,3,true
74,1,2,false
75,1.0004618386877184,3,true
76,1,2,false
77,1,2,true
78,1.8690509220673177,2,false
79,1,2,true
80,1,2,false
81,1.000070664261878,2,true
82,1.5849625007211556,2,false
83,0.9999999999999971,2,true
84,1.0190983536122338,2,false
85,1,2,true
86,1.922963615830426,3,false
87,0.9390001483700516,2,true
88,1,2,false
89,1.0004618386877184,3,true
90,1.5849625007211556,3,false
91,1.0614059609684077,2,true
92,1.8690509220673177,2,false
93,1,2,true
94,1.9095355546227566,2,false
95,0.9390001483700516,2,true
96,0,1,false
97,1,3,true
98,1,2,false
99,1,2,true
100,1,2,false
101,0.999607602642476,3,true
102,1.5849625007211556,3,false
103,1.0003281002133946,3,true
104,0,2,false
105,0.991448804755251,3,true
106,1,3,false
107,1.0005627997211206,3,true
108,1,2,false
109,1.0117667327389115,2,true
110,1.8948915749861897,4,false
111,1.0002353684400815,2,true
112,1,2,false
113,1.000070664261878,3,true
114,1.9669957832077956,2,false
115,1.0001409438386801,2,true
116,1.0190983536122338,2,false
117,1,2,true
118,1.963221271994294,3,false
119,0.9390001483700516,2,true
120,1,3,false
121,1.0005627997211206,3,true
122,1.9669957832077956,3,false
123,1.0316482415184196,2,true
124,1.8948915749861897,4,false
125,1.0002353684400815,3,true
126,1.6097517354211277,3,false
127,0.9390001483700516,2,true
128,0,1,false
129,1.0314576819977788,3,true
130,1,2,false
131,0.9881213699516479,3,true
132,1,2,false
133,0.9999106174585023,2,true
134,1,2,false
135,0.9998428311107659,3,true
136,0,1,false
137,0.9924115065157793,4,true
138,1,2,false
139,1.0405119582796203,2,true
140,1,2,false
141,0.9999106729465552,2,true
142,1.0190983536122338,2,false
143,1.040467183429658,3,true
144,1,2,false
145,0.9881213699516479,2,true
146,1.5849625007211556,3,false
147,0.9999553166776736,3,true
148,1,2,false
149,0.9998428311107659,3,true
150,1.6958501426880048,3,false
151,1,3,true
152,1,2,false
153,1.0314920036341135,3,true
154,1.5849625007211556,2,false
155,1.040489580317086,2,true
156,1.8929440169180012,2,false
157,0.9999553582660866,2,true
158,1.9610518991049772,2,false
159,1,2,true
160,0,1,false
161,1.0314576819977788,3,true
162,1,2,false
163,0.9999553166776736,2,true
164,1,2,false
165,1.0360799634844853,3,true
166,1,2,false
167,1.0360777497943103,2,true
168,0,1,false
169,1.0393834966243305,3,true
170,1,2,false
171,1.0405119582796203,2,true
172,1,2,false
173,1.0405566575270426,2,true
174,1.0190983536122338,2,false
175,1.0405119582796203,2,true
176,1,2,false
177,0.9999553166776736,2,true
178,1.9669957832077956,2,false
179,0.9999553166776736,2,true
180,1,2,false
181,1.0360777497943103,2,true
182,2.024541892731149,3,false
183,1,3,true
184,1,3,false
185,1.0405119582796203,2,true
186,1.9669957832077956,2,false
187,1.0405119582796203,2,true
188,1.939000148370053,2,false
189,1.0405120019254555,2,true
190,1.9773475067460466,2,false
191,1,2,true
192,0,1,false
193,0.9924115065157793,4,true
194,1,2,false
195,1.0314920036341135,3,true
196,1,2,false
197,0.9999106729465552,2,true
198,1.8929440169180012,2,false
199,0.9999553582660866,2,true
200,0,2,false
201,1,2,true
202,1,2,false
203,1.0405566575270448,2,true
204,1,2,false
205,1,2,true
206,1.9669957832077956,2,false
207,1,2,true
208,1,2,false
209,1.0405119582796203,2,true
210,1.5849625007211556,2,false
211,1.040489580317086,2,true
212,1.0190983536122338,2,false
213,1.040467183429658,2,true
214,1.9610518991049772,2,false
215,1,2,true
216,1,2,false
217,1.0405566575270448,2,true
218,1.5849625007211556,2,false
219,0,2,true
220,1.9669957832077956,2,false
221,1,2,true
222,2,2,false
223,1,2,true
224,0,1,false
225,1.0393834966243305,3,true
226,1,2,false
227,1.0405119582796203,2,true
228,1,2,false
229,1.0405566575270426,2,true
230,1.939000148370053,2,false
231,1.0405120019254555,2,true
232,0,2,false
233,1.144135017862243,2,true
234,1,1,false
235,1.0941656598247362,1,true
236,1,2,false
237,1.056540610036589,2,true
238,1.9669957832077956,1,false
239,1.0405566575270448,1,true
240,1,2,false
241,1.0405119582796203,2,true
242,1.9669957832077956,2,false
243,1.0405119582796203,2,true
244,1.0190983536122338,2,false
245,1.0405119582796203,2,true
246,1.9773475067460466,2,false
247,1,2,true
248,1,1,false
249,1.0941656598247362,1,true
250,1.9669957832077956,1,false
251,1.0405566575270448,1,true
252,1.9669957832077956,1,false
253,1.0405566575270448,1,true
254,2,1,false
255,1,1,true
